city_name,seismic_level,risk_percent
Toledo,4,66.35
Chicago,4,13.87
Mesa,2,48.80
Lexington,2,73.19
Nashville,1,91.59
San Francisco,4,33.34
Oakland,1,81.43
Los Angeles,4,86.53
Miami,5,39.25
Honolulu,1,70.65
St. Petersburg,3,39.11
New York,3,33.74
San Jose,1,15.84
Anchorage,4,91.57
Detroit,5,86.78
San Diego,3,
St. Petersburg,2,92.39
Detroit,4,88.76
Fort Worth,1,64.87
Jersey City,2,28.57
Seattle,5,16.35
Honolulu,2,51.98
El Paso,4,89.19
Chicago,3,28.96
Albuquerque,1,65.89
Raleigh,3,39.05
Detroit,2,65.82
Wichita,3,36.13
Los Angeles,4,35.57
Lexington,1,87.91
St. Louis,5,
Charlotte,4,32.73
Laredo,1,47.33
Anchorage,2,50.66
Las Vegas,2,17.75
San Antonio,5,96.58
St. Petersburg,5,96.39
Louisville,4,83.83
Houston,4,58.78
Plano,1,81.56
Sacramento,2,20.47
Fort Worth,1,48.45
Corpus Christi,4,26.12
Raleigh,2,62.18
Portland,2,54.69
Newark,3,
Oklahoma City,1,62.60
Colorado Springs,5,70.63
Stockton,5,89.32
Cincinnati,2,94.67
Fresno,4,72.16
Anchorage,4,89.68
St. Louis,2,92.67
Fort Wayne,3,89.23
Washington,1,48.80
Charlotte,2,69.47
Virginia Beach,5,91.83
New York,3,55.36
Kansas City,4,72.87
Wichita,3,
Baltimore,4,57.24
Stockton,4,13.61
Phoenix,1,70.06
Toledo,5,49.15
Tucson,5,68.82
Long Beach,1,33.11
Washington,1,15.40
Lexington,4,63.84
Memphis,4,96.34
Detroit,1,61.54
Nashville,4,58.25
Memphis,4,63.73
Greensboro,1,57.26
Seattle,2,35.05
Columbus,1,59.84
Fresno,4,55.95
Chula Vista,4,97.41
Anaheim,1,92.84
Houston,3,84.35
Minneapolis,5,61.14
Albuquerque,5,36.37
Chicago,1,99.05
Tucson,5,83.74
Phoenix,1,57.41
Newark,3,21.61
Laredo,5,31.80
Jacksonville,2,65.94
Anchorage,4,37.91
Oklahoma City,5,63.35
Indianapolis,4,34.01
Newark,4,97.88
Baltimore,2,81.20
Cleveland,4,53.61
Memphis,3,88.19
Minneapolis,4,
Pittsburgh,4,74.78
Detroit,1,14.00
Denver,4,44.97
San Diego,5,60.26
Fort Wayne,5,42.78
Toledo,2,63.19
Plano,1,97.72
Anchorage,4,22.52
Los Angeles,2,86.61
Colorado Springs,4,30.72
Albuquerque,4,33.54
Washington,4,86.30
Kansas City,3,18.15
Detroit,5,14.56
Lexington,1,53.16
Anaheim,2,56.08
Kansas City,5,76.96
Orlando,2,40.50
Anchorage,3,15.03
Indianapolis,3,70.33
Atlanta,2,32.23
Philadelphia,2,42.57
Columbus,4,59.90
New York,2,50.39
Boston,2,63.73
Virginia Beach,2,52.26
Plano,4,50.14
Raleigh,5,33.33
Henderson,1,24.09
Aurora,1,78.56
Tulsa,1,94.60
Tulsa,2,78.16
Kansas City,5,55.04
Portland,3,55.74
San Antonio,2,80.51
New York,4,
Denver,5,
Long Beach,5,22.99
Fresno,3,
Omaha,1,75.53
Denver,4,45.05
Oklahoma City,2,75.31
Henderson,4,
Arlington,3,48.74
Stockton,5,65.68
St. Petersburg,3,35.16
Tulsa,1,
Kansas City,4,54.83
Albuquerque,5,57.62
Santa Ana,5,56.19
Lincoln,3,36.36
Las Vegas,1,56.51
Houston,4,14.45
Los Angeles,4,29.19
San Antonio,2,80.77
Bakersfield,3,
Mesa,4,66.71
Lexington,2,12.19
Irvine,1,92.11
Nashville,4,44.50
Houston,4,48.15
Tulsa,2,72.50
Irvine,1,22.64
Henderson,4,48.12
Toledo,4,51.67
San Antonio,1,80.82
Detroit,1,91.04
New York,1,99.02
Chula Vista,1,34.19
Stockton,4,26.16
Riverside,1,37.51
Minneapolis,5,45.80
San Jose,1,28.10
Chula Vista,2,16.34
St. Petersburg,3,67.04
Arlington,1,74.33
Sacramento,3,24.72
Minneapolis,4,81.21
New York,2,11.98
Corpus Christi,4,49.77
Boston,5,68.10
Anaheim,2,
Aurora,1,35.33
Lincoln,3,96.43
Miami,5,
San Diego,2,80.77
Oakland,3,67.27
Philadelphia,4,91.75
Pittsburgh,3,94.83
Austin,4,48.98
Columbus,5,77.18
Los Angeles,2,18.79
Milwaukee,3,80.59
Anchorage,3,89.04
Pittsburgh,1,89.85
Fresno,2,25.98
Philadelphia,3,78.91
Chicago,3,
New Orleans,4,11.17
Cincinnati,3,83.86
Arlington,3,55.55
Kansas City,3,52.42
Atlanta,3,17.19
Anchorage,5,23.73
Indianapolis,1,79.95
Charlotte,1,93.52
Atlanta,5,
Tampa,2,18.58
Anchorage,2,91.28
Indianapolis,3,93.11
Cincinnati,5,12.17
Henderson,5,28.41
Anchorage,5,69.51
Sacramento,1,41.36
Las Vegas,2,34.29
Lexington,2,10.40
Mesa,2,
Chicago,1,21.57
Atlanta,1,13.84
Detroit,1,29.89
Arlington,2,51.02
Columbus,5,52.32
Fort Worth,1,46.61
Oakland,4,
Omaha,5,58.99
Pittsburgh,4,76.65
Wichita,4,30.72
Pittsburgh,5,67.05
Charlotte,1,
Pittsburgh,5,12.91
San Jose,1,30.31
Stockton,3,
St. Louis,1,89.56
Long Beach,4,37.25
Seattle,3,47.56
Anchorage,4,67.89
Detroit,3,17.03
Jersey City,4,60.56
Greensboro,1,28.39
Tulsa,1,97.23
San Francisco,4,55.55
Columbus,5,91.64
Newark,2,65.54
Miami,3,42.94
Tulsa,3,
Long Beach,3,20.10
San Diego,4,52.58
Miami,2,37.69
Las Vegas,5,26.33
Phoenix,4,19.22
Orlando,1,84.74
San Antonio,4,53.60
Wichita,2,48.65
Boston,4,48.43
Cincinnati,3,47.96
St. Petersburg,4,98.95
Charlotte,4,62.14
Tulsa,4,25.33
Phoenix,4,79.91
Jacksonville,2,86.10
Fort Worth,1,20.61
Atlanta,5,27.80
Newark,1,46.24
Plano,3,35.74
Tucson,4,27.67
Jersey City,1,44.13
Denver,4,66.03
Washington,4,47.71
Oklahoma City,5,
St. Louis,2,92.74
Portland,4,14.69
St. Petersburg,3,74.32
Indianapolis,4,39.12
Minneapolis,5,19.34
Seattle,2,46.49
Tulsa,4,94.24
Lexington,5,10.51
Tucson,5,84.34
Anaheim,4,55.91
Houston,3,53.12
Albuquerque,1,14.45
Irvine,5,74.32
Albuquerque,3,16.11
Kansas City,1,43.68
Los Angeles,3,80.84
Colorado Springs,1,20.17
New Orleans,3,20.88
New York,1,22.35
Tampa,2,62.59
Minneapolis,4,50.19
Lincoln,1,85.88
Corpus Christi,4,12.12
Milwaukee,3,12.43
Tucson,1,70.39
Riverside,2,75.47
St. Petersburg,2,33.74
Tampa,2,72.14
Oklahoma City,2,23.00
Tulsa,4,98.14
Louisville,3,24.88
Oklahoma City,3,73.37
Oklahoma City,2,23.72
Raleigh,3,73.59
Irvine,5,41.83
Portland,4,26.86
Washington,2,
Denver,5,56.03
Washington,3,25.12
Irvine,1,12.73
Newark,5,
Oklahoma City,5,63.77
Laredo,3,51.86
Atlanta,5,57.64
El Paso,5,69.11
San Diego,4,36.34
St. Petersburg,1,74.23
Baltimore,2,87.12
Los Angeles,3,47.59
Aurora,3,
Phoenix,5,56.33
Chicago,2,98.29
Tucson,2,52.88
Oakland,5,20.94
Greensboro,4,54.43
Austin,3,67.28
Dallas,5,26.30
Memphis,2,94.48
Arlington,4,23.65
Los Angeles,4,88.06
Cincinnati,2,21.55
Orlando,5,85.45
Charlotte,2,
Santa Ana,4,
Sacramento,5,15.76
Toledo,1,44.43
Miami,5,56.35
Stockton,4,80.37
Cincinnati,1,27.49
Minneapolis,1,50.02
Pittsburgh,4,85.10
Henderson,1,49.08
Wichita,4,15.14
Henderson,3,23.69
Orlando,1,49.86
